TCGA-ACC  ['Adrenocortical Carcinoma']
TCGA-BLCA  ['Bladder Urothelial Carcinoma']
TCGA-BRCA  ['Breast Invasive Carcinoma']
TCGA-CESC  ['Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma']
TCGA-CHOL  ['Cholangiocarcinoma']
TCGA-COAD  ['Colon Adenocarcinoma']
TCGA-DLBC  ['Lymphoid Neoplasm Diffuse Large B-cell Lymphoma']
TCGA-ESCA  ['Esophageal Carcinoma']
TCGA-GBM  ['Glioblastoma Multiforme']
TCGA-HNSC  ['Head and Neck Squamous Cell Carcinoma']
TCGA-KICH  ['Kidney Chromophobe']
TCGA-KIRC  ['Kidney Renal Clear Cell Carcinoma']
TCGA-KIRP  ['Kidney Renal Papillary Cell Carcinoma']
TCGA-LAML  ['Acute Myeloid Leukemia']
TCGA-LGG  ['Brain Lower Grade Glioma']
TCGA-LIHC  ['Liver Hepatocellular Carcinoma']
TCGA-LUAD  ['Lung Adenocarcinoma']
TCGA-LUSC  ['Lung Squamous Cell Carcinoma']
TCGA-MESO  ['Mesothelioma']
TCGA-OV  ['Ovarian Serous Cystadenocarcinoma']
TCGA-PAAD  ['Pancreatic Adenocarcinoma']
TCGA-PCPG  ['Pheochromocytoma and Paraganglioma']
TCGA-PRAD  ['Prostate Adenocarcinoma']
TCGA-READ  ['Rectum Adenocarcinoma']
TCGA-SARC  ['Sarcoma']
TCGA-SKCM  ['Skin Cutaneous Melanoma']
TCGA-STAD  ['Stomach Adenocarcinoma']
TCGA-TGCT  ['Testicular Germ Cell Tumors']
TCGA-THCA  ['Thyroid Carcinoma']
TCGA-THYM  ['Thymoma']
TCGA-UCEC  ['Uterine Corpus Endometrial Carcinoma']
TCGA-UCS  ['Uterine Carcinosarcoma']
TCGA-UVM  ['Uveal Melanoma']
