AARS ENSG00000090861.14
CARS ENSG00000110619.15
DARS ENSG00000115866.9
EPRS ENSG00000136628.16
FARSA ENSG00000179115.9
FARSB ENSG00000116120.9
GARS ENSG00000106105.12
HARS ENSG00000170445.11
IARS ENSG00000196305.16
KARS ENSG00000065427.13
LARS ENSG00000133706.16
MARS ENSG00000166986.11
NARS ENSG00000134440.10
QARS ENSG00000172053.13
RARS ENSG00000113643.7
SARS ENSG00000031698.11
TARS ENSG00000113407.12
VARS ENSG00000204394.11
WARS ENSG00000140105.16
YARS ENSG00000134684.9
AARS2 ENSG00000124608.4
CARS2 ENSG00000134905.15
DARS2 ENSG00000117593.9
EARS2 ENSG00000103356.14
FARS2 ENSG00000145982.10
HARS2 ENSG00000112855.13
IARS2 ENSG00000067704.9
LARS2 ENSG00000011376.8
MARS2 ENSG00000247626.4
NARS2 ENSG00000137513.8
PARS2 ENSG00000162396.5
RARS2 ENSG00000146282.16
SARS2 ENSG00000104835.13
TARS2 ENSG00000143374.13
VARS2 ENSG00000137411.15
WARS2 ENSG00000116874.10
YARS2 ENSG00000139131.11
